48,48,48,48,Normal
55,55,50,55,Normal
130,65,60,65,Water
65,65,60,130,Electric
65,130,60,65,Fire
65,60,70,40,Normal
35,40,100,35,Rock
70,60,125,55,Rock
30,80,90,55,Rock
60,115,105,80,Rock
80,105,65,130,Rock
80,135,85,150,Rock
160,110,65,30,Normal
90,85,100,85,Ice
90,90,85,100,Electric
90,100,90,90,Fire
41,64,45,50,Dragon
61,84,65,70,Dragon
91,134,95,80,Dragon
106,110,90,130,Psychic
106,190,100,130,Psychic
106,150,70,140,Psychic
100,100,100,100,Psychic
45,49,65,45,Grass
60,62,80,60,Grass
80,82,100,80,Grass
39,52,43,65,Fire
58,64,58,80,Fire
78,84,78,100,Fire
50,65,64,43,Water
65,80,80,58,Water
85,105,100,78,Water
35,46,34,20,Normal
85,76,64,90,Normal
60,30,30,50,Normal
100,50,50,70,Normal
40,20,30,55,Bug
55,35,50,85,Bug
40,60,40,30,Bug
70,90,70,40,Bug
85,90,80,130,Poison
75,38,38,67,Water
125,58,58,67,Water
20,40,15,60,Electric
50,25,28,15,Fairy
90,30,15,15,Normal
35,20,65,20,Fairy
55,40,85,40,Fairy
40,50,45,70,Psychic
65,75,70,95,Psychic
55,40,40,35,Electric
70,55,55,45,Electric
90,75,85,55,Electric
90,95,105,45,Electric
75,80,95,50,Grass
70,20,50,40,Water
100,50,80,50,Water
70,100,115,30,Rock
90,75,75,70,Water
35,35,40,50,Grass
55,45,50,80,Grass
75,55,70,110,Grass
55,70,55,85,Normal
30,30,30,30,Grass
75,75,55,30,Grass
65,65,45,95,Bug
55,45,45,15,Water
95,85,85,35,Water
65,65,60,110,Psychic
95,65,110,65,Dark
60,85,42,91,Dark
95,75,80,30,Water
60,60,60,85,Ghost
48,72,48,48,Psychic
190,33,58,33,Psychic
70,80,65,85,Normal
50,65,90,15,Bug
75,90,140,40,Bug
100,70,70,45,Normal
65,75,105,85,Ground
75,85,200,30,Steel
75,125,230,30,Steel
60,80,50,30,Fairy
90,120,75,45,Fairy
65,95,75,85,Water
70,130,100,65,Bug
70,150,140,75,Bug
20,10,230,5,Bug
80,125,75,85,Bug
80,185,115,75,Bug
55,95,55,115,Dark
60,80,50,40,Normal
90,130,75,55,Normal
40,40,40,20,Fire
50,50,120,30,Fire
50,50,40,50,Ice
100,100,80,50,Ice
55,55,85,35,Water
35,65,35,65,Water
75,105,75,45,Water
45,55,45,75,Ice
65,40,70,70,Water
65,80,140,70,Steel
45,60,30,65,Dark
75,90,50,95,Dark
75,90,90,115,Dark
75,95,95,85,Water
90,60,60,40,Ground
90,120,120,50,Ground
85,80,90,60,Normal
73,95,62,85,Normal
55,20,35,75,Normal
35,35,35,35,Fighting
50,95,95,70,Fighting
45,30,15,65,Ice
45,63,37,95,Electric
45,75,37,83,Fire
95,80,105,100,Normal
255,10,10,55,Normal
90,85,75,115,Electric
115,115,85,100,Fire
100,75,115,85,Water
50,64,50,41,Rock
70,84,70,51,Rock
100,134,110,61,Rock
100,164,150,71,Rock
106,90,130,110,Psychic
106,130,90,90,Fire
100,100,100,100,Psychic
40,45,35,70,Grass
50,65,45,95,Grass
70,85,65,120,Grass
70,110,75,145,Grass
45,60,40,45,Fire
60,85,60,55,Fire
80,120,70,80,Fire
80,160,80,100,Fire
50,70,50,40,Water
70,85,70,50,Water
100,110,90,60,Water
100,150,110,70,Water
35,55,35,35,Dark
70,90,70,70,Dark
38,30,41,60,Normal
78,70,61,100,Normal
45,45,35,20,Bug
50,35,55,15,Bug
60,70,50,65,Bug
50,35,55,15,Bug
60,50,70,65,Bug
40,30,30,30,Water
60,50,50,50,Water
80,70,70,70,Water
40,40,50,30,Grass
70,70,40,60,Grass
90,100,60,80,Grass
40,55,30,85,Normal
60,85,60,125,Normal
40,30,30,85,Water
60,50,100,65,Water
28,25,25,40,Psychic
38,35,35,50,Psychic
68,65,65,80,Psychic
68,85,65,100,Psychic
40,30,32,65,Bug
70,60,62,60,Bug
60,40,60,35,Grass
60,130,80,70,Grass
60,60,60,30,Normal
80,80,80,90,Normal
150,160,100,100,Normal
31,45,90,40,Bug
61,90,45,160,Bug
1,90,45,40,Bug
64,51,23,28,Normal
84,71,43,48,Normal
104,91,63,68,Normal
72,60,30,25,Fighting
144,120,60,50,Fighting
50,20,40,20,Normal
30,45,135,30,Rock
50,45,45,50,Normal
70,65,65,70,Normal
50,75,75,50,Dark
50,85,125,20,Dark
50,85,85,50,Steel
50,105,125,50,Steel
50,70,100,30,Steel
60,90,140,40,Steel
70,110,180,50,Steel
70,140,230,50,Steel
30,40,55,60,Fighting
60,60,75,80,Fighting
60,100,85,100,Fighting
40,45,40,65,Electric
70,75,60,105,Electric
70,75,80,135,Electric
60,50,40,95,Electric
60,40,50,95,Electric
65,73,55,85,Bug
65,47,55,85,Bug
50,60,45,65,Grass
70,43,53,40,Poison
100,73,83,55,Poison
45,90,20,65,Water
70,120,40,95,Water
70,140,70,105,Water
130,70,35,60,Water
170,90,45,60,Water
60,60,40,35,Fire
70,100,70,40,Fire
70,120,100,20,Fire
70,85,140,20,Fire
60,25,35,60,Psychic
80,45,65,80,Psychic
60,60,60,60,Normal
45,100,45,10,Ground
50,70,50,70,Ground
80,100,80,100,Ground
50,85,40,35,Grass
70,115,60,55,Grass
45,40,60,50,Normal
75,70,90,80,Dragon
75,110,110,80,Dragon
73,115,60,90,Normal
73,100,60,65,Poison
70,55,65,70,Rock
70,95,85,70,Rock
50,48,43,60,Water
110,78,73,60,Water
43,80,65,35,Water
63,120,85,55,Water
40,40,55,55,Ground
60,70,105,75,Ground
66,41,77,23,Rock
86,81,97,43,Rock
45,95,50,75,Rock
75,125,100,45,Rock
20,15,20,80,Water
95,60,79,81,Water
70,70,70,70,Normal
60,90,70,40,Normal
44,75,35,45,Ghost
64,115,65,65,Ghost
64,165,75,75,Ghost
20,40,90,25,Ghost
40,70,130,25,Ghost
99,68,83,51,Grass
65,50,70,65,Psychic
65,130,60,75,Dark
65,150,60,115,Dark
95,23,48,23,Psychic
50,50,50,50,Ice
80,80,80,80,Ice
80,120,80,100,Ice
70,40,50,25,Ice
90,60,70,45,Ice
110,80,90,65,Ice
35,64,85,32,Water
55,104,105,52,Water
55,84,105,52,Water
100,90,130,55,Water
43,30,55,97,Water
45,75,60,50,Dragon
65,95,100,50,Dragon
95,135,80,100,Dragon
95,145,130,120,Dragon
40,55,80,30,Steel
60,75,100,50,Steel
80,135,130,70,Steel
80,145,150,110,Steel
80,100,200,50,Rock
80,50,100,50,Ice
80,75,150,50,Steel
80,80,90,110,Dragon
80,100,120,110,Dragon
80,90,80,110,Dragon
80,130,100,110,Dragon
100,100,90,90,Water
100,150,90,90,Water
100,150,140,90,Ground
100,180,160,90,Ground
105,150,90,95,Dragon
105,180,100,115,Dragon
100,100,100,100,Steel
50,150,50,150,Psychic
50,180,20,150,Psychic
50,70,160,90,Psychic
50,95,90,180,Psychic
55,68,64,31,Grass
75,89,85,36,Grass
95,109,105,56,Grass
44,58,44,61,Fire
64,78,52,81,Fire
76,104,71,108,Fire
53,51,53,40,Water
64,66,68,50,Water
84,86,88,60,Water
40,55,30,60,Normal
55,75,50,80,Normal
85,120,70,100,Normal
59,45,40,31,Normal
79,85,60,71,Normal
37,25,41,25,Bug
77,85,51,65,Bug
45,65,34,45,Electric
60,85,49,60,Electric
80,120,79,70,Electric
40,30,35,55,Grass
60,70,65,90,Grass
67,125,40,58,Rock
97,165,60,58,Rock
30,42,118,30,Rock
60,52,168,30,Rock
40,29,45,36,Bug
60,59,85,36,Bug
60,79,105,36,Bug
60,69,95,36,Bug
70,94,50,66,Bug
30,30,42,70,Bug
70,80,102,40,Bug
60,45,70,95,Electric
55,65,35,85,Water
85,105,55,115,Water
45,35,45,35,Grass
70,60,70,85,Grass
76,48,48,34,Water
111,83,68,39,Water
75,100,66,115,Normal
90,50,34,70,Ghost
150,80,44,80,Ghost
55,66,44,85,Normal
65,76,84,105,Normal
65,136,94,135,Normal
60,60,60,105,Ghost
100,125,52,71,Dark
49,55,42,85,Normal
71,82,64,112,Normal
45,30,50,45,Psychic
63,63,47,74,Poison
103,93,67,84,Poison
57,24,86,23,Steel
67,89,116,33,Steel
50,80,95,10,Rock
20,25,45,60,Psychic
100,5,5,30,Normal
76,65,45,91,Normal
50,92,108,35,Ghost
58,70,45,42,Dragon
68,90,65,82,Dragon
108,130,95,102,Dragon
108,170,115,92,Dragon
135,85,40,5,Normal
40,70,40,60,Fighting
70,110,70,90,Fighting
70,145,88,112,Fighting
68,72,78,32,Ground
108,112,118,47,Ground
40,50,90,65,Poison
70,90,110,95,Poison
48,61,40,50,Poison
83,106,65,85,Poison
74,100,72,46,Grass
49,49,56,66,Water
69,69,76,91,Water
45,20,50,50,Water
60,62,50,40,Grass
90,92,75,60,Grass
90,132,105,30,Grass
70,120,65,125,Dark
70,70,115,60,Electric
110,85,95,50,Normal
115,140,130,40,Ground
100,100,125,50,Grass
75,123,67,95,Electric
75,95,67,83,Fire
85,50,95,80,Fairy
86,76,86,95,Bug
65,110,130,95,Grass
65,60,110,65,Ice
75,95,125,95,Ground
110,130,80,80,Ice
85,80,70,90,Normal
68,125,65,80,Psychic
68,165,95,110,Psychic
60,55,145,40,Rock
45,100,135,45,Ghost
70,80,70,110,Ice
50,50,77,91,Electric
50,65,107,86,Electric
50,65,107,86,Electric
50,65,107,86,Electric
50,65,107,86,Electric
50,65,107,86,Electric
75,75,130,95,Psychic
80,105,105,80,Psychic
75,125,70,115,Psychic
100,120,120,90,Steel
90,120,100,100,Water
91,90,106,77,Fire
110,160,110,100,Normal
150,100,120,90,Ghost
150,120,100,90,Ghost
120,70,120,85,Psychic
80,80,80,80,Water
100,100,100,100,Water
70,90,90,125,Dark
100,100,100,100,Grass
100,103,75,127,Grass
120,120,120,120,Normal
100,100,100,100,Psychic
45,45,55,63,Grass
60,60,75,83,Grass
75,75,95,113,Grass
65,63,45,45,Fire
90,93,55,55,Fire
110,123,65,65,Fire
55,55,45,45,Water
75,75,60,60,Water
95,100,85,70,Water
45,55,39,42,Normal
60,85,69,77,Normal
45,60,45,55,Normal
65,80,65,60,Normal
85,110,90,80,Normal
41,50,37,66,Dark
64,88,50,106,Dark
50,53,48,64,Grass
75,98,63,101,Grass
50,53,48,64,Fire
75,98,63,101,Fire
50,53,48,64,Water
75,98,63,101,Water
76,25,45,24,Psychic
116,55,85,29,Psychic
50,55,50,43,Normal
62,77,62,65,Normal
80,115,80,93,Normal
45,60,32,76,Electric
75,100,63,116,Electric
55,75,85,15,Rock
70,105,105,20,Rock
85,135,130,25,Rock
55,45,43,72,Psychic
67,57,55,114,Psychic
60,85,40,68,Ground
110,135,60,88,Ground
103,60,86,50,Normal
103,60,126,50,Normal
75,80,55,35,Fighting
85,105,85,40,Fighting
105,140,95,45,Fighting
50,50,40,64,Water
75,65,55,69,Water
105,95,75,74,Water
120,100,85,45,Fighting
75,125,75,85,Fighting
45,53,70,42,Bug
55,63,90,42,Bug
75,103,80,92,Bug
30,45,59,57,Bug
40,55,99,47,Bug
60,100,89,112,Bug
40,27,60,66,Grass
60,67,85,116,Grass
45,35,50,30,Grass
70,60,75,90,Grass
70,92,65,98,Water
50,72,35,65,Ground
60,82,45,74,Ground
95,117,80,92,Ground
70,90,45,50,Fire
105,140,55,95,Fire
105,30,105,55,Fire
75,86,67,60,Grass
50,65,85,55,Bug
70,95,125,45,Bug
50,75,70,48,Dark
65,90,115,58,Dark
72,58,80,97,Psychic
38,30,85,30,Ghost
58,50,145,30,Ghost
54,78,103,22,Water
74,108,133,32,Water
55,112,45,70,Rock
75,140,65,110,Rock
50,50,62,65,Poison
80,95,82,75,Poison
40,65,40,65,Dark
60,105,60,105,Dark
55,50,40,75,Normal
75,95,60,115,Normal
45,30,50,45,Psychic
60,45,70,55,Psychic
70,55,95,65,Psychic
45,30,40,20,Psychic
65,40,50,30,Psychic
110,65,75,30,Psychic
62,44,50,55,Water
75,87,63,98,Water
36,50,50,44,Ice
51,65,65,59,Ice
71,95,85,79,Ice
60,60,50,75,Normal
80,100,70,95,Normal
55,75,60,103,Electric
50,75,45,60,Bug
70,135,105,20,Bug
69,55,45,15,Grass
114,85,70,30,Grass
55,40,50,40,Water
100,60,70,60,Water
165,75,80,65,Water
50,47,50,65,Bug
70,77,60,108,Bug
44,50,91,10,Grass
74,94,131,20,Grass
40,55,70,30,Steel
60,80,95,50,Steel
60,100,115,90,Steel
35,55,40,60,Electric
65,85,70,40,Electric
85,115,80,50,Electric
55,55,55,30,Psychic
75,75,75,40,Psychic
50,30,55,20,Ghost
60,40,60,55,Ghost
60,55,90,80,Ghost
46,87,60,57,Dragon
66,117,70,67,Dragon
76,147,90,97,Dragon
55,70,40,40,Ice
95,110,80,50,Ice
70,50,30,105,Ice
50,40,85,25,Bug
80,70,40,145,Bug
109,66,84,32,Ground
45,85,50,65,Fighting
65,125,60,105,Fighting
77,120,90,48,Dragon
59,74,50,35,Ground
89,124,80,55,Ground
45,85,70,60,Dark
65,125,100,70,Dark
95,110,95,55,Normal
70,83,50,60,Normal
100,123,75,80,Normal
70,55,75,60,Dark
110,65,105,80,Dark
85,97,66,65,Fire
58,109,112,109,Bug
52,65,50,38,Dark
72,85,70,58,Dark
92,105,90,98,Dark
55,85,55,60,Bug
85,60,65,100,Bug
91,90,129,108,Steel
91,129,90,108,Rock
91,90,72,108,Grass
79,115,70,111,Flying
79,100,80,121,Flying
79,115,70,111,Electric
79,105,70,101,Electric
100,120,100,90,Dragon
100,150,120,90,Dragon
89,125,90,101,Ground
89,145,90,91,Ground
125,130,90,95,Dragon
125,170,100,95,Dragon
125,120,90,95,Dragon
91,72,90,108,Water
91,72,90,108,Water
100,77,77,90,Normal
100,128,90,128,Normal
71,120,95,99,Bug
56,61,65,38,Grass
61,78,95,57,Grass
88,107,122,64,Grass
40,45,40,60,Fire
59,59,58,73,Fire
75,69,72,104,Fire
41,56,40,71,Water
54,63,52,97,Water
72,95,67,122,Water
38,36,38,57,Normal
85,56,77,78,Normal
45,50,43,62,Normal
62,73,55,84,Fire
78,81,71,126,Fire
38,35,40,35,Bug
45,22,60,29,Bug
80,52,50,89,Bug
62,50,58,72,Fire
86,68,72,106,Fire
44,38,39,42,Fairy
54,45,47,52,Fairy
78,65,68,75,Fairy
66,65,48,52,Grass
123,100,62,68,Grass
67,82,62,43,Fighting
95,124,78,58,Fighting
75,80,60,102,Normal
62,48,54,68,Psychic
74,48,76,104,Psychic
74,48,76,104,Psychic
45,80,100,28,Steel
59,110,150,35,Steel
60,150,50,60,Steel
60,50,150,60,Steel
78,52,60,23,Fairy
101,72,72,29,Fairy
62,48,66,49,Fairy
82,80,86,72,Fairy
53,54,53,45,Dark
86,92,88,73,Dark
42,52,67,50,Rock
72,105,115,68,Rock
50,60,60,30,Poison
65,75,90,44,Poison
50,53,62,44,Water
71,73,88,59,Water
44,38,33,70,Electric
62,55,52,109,Electric
58,89,77,48,Rock
82,121,119,71,Rock
77,59,50,46,Rock
123,77,72,58,Rock
95,65,65,60,Fairy
78,92,75,118,Fighting
67,58,57,101,Electric
50,50,150,50,Rock
45,50,35,40,Dragon
68,75,53,60,Dragon
90,100,70,80,Dragon
57,80,91,75,Steel
43,70,48,38,Ghost
85,110,76,56,Ghost
49,66,70,51,Ghost
44,66,70,56,Ghost
54,66,70,46,Ghost
59,66,70,41,Ghost
65,90,122,84,Ghost
55,85,122,99,Ghost
75,95,122,69,Ghost
85,100,122,54,Ghost
55,69,85,28,Ice
95,117,184,28,Ice
40,30,35,55,Flying
85,70,80,123,Flying
126,131,95,99,Fairy
126,131,95,99,Dark
108,100,121,95,Dragon
50,100,150,50,Rock
50,160,110,110,Rock
80,110,60,70,Psychic
80,160,60,80,Psychic
80,110,120,70,Fire
